Trial,Flip,Time (s)
1,1,2.4987972999806516
1,2,5.730981900007464
1,3,9.190164699975867
1,4,11.37228499999037
1,5,13.950530999980401
1,6,17.36617940000724
1,7,20.71537970000645
1,8,23.68247459997656
1,9,25.77412269997876
1,10,29.198721799999475
1,11,32.939886199950706
1,12,35.28847470000619
1,13,37.16191569995135
1,14,40.0626912000007
1,15,42.00068120000651
1,16,44.9172481999849
1,17,47.19661669997731
1,18,50.252155099995434
1,19,53.40959409996867
1,20,56.5933970999904
1,21,59.964610899973195
1,22,62.71131739998236
1,23,65.94871739996597
1,24,68.0585908999783
1,25,70.28514729999006
1,26,72.12838909996208
1,27,75.66685519996099
1,28,78.34119659999851
1,29,81.38259759999346
1,30,84.60590969998157
1,31,88.3785474000033
1,32,91.91335109999636
1,33,95.60706329997629
1,34,99.2829598999815
1,35,103.04412539995974
1,36,105.09077169996453
1,37,108.47772069997154
1,38,111.21157980000135
1,39,114.82744959997945
1,40,118.09344689996215
1,41,121.21849259996088
1,42,123.94596529996488
1,43,127.06499779998558
1,44,129.30301519995555
1,45,131.56550520000746
1,46,134.0439127999707
1,47,136.01236469997093
1,48,138.27839099999983
1,49,140.91000380000332
1,50,143.53991849999875
