EEG Sample Number,EEG Sample Time (s),EEG Signal,Trigger
0,0.00604050001129508,5,
1,0.008205000020097941,817,
2,0.011282699997536838,1016,
3,0.013879000034648925,1017,
4,0.015574900025967509,1017,
5,0.017347900022286922,1017,
6,0.019317700003739446,1016,
7,0.02089500002330169,991,
8,0.022780100000090897,5,
9,0.025055699981749058,5,
10,0.027511399996001273,5,
11,0.029058400017675012,5,
12,0.030738400004338473,5,
13,0.03223940002499148,5,
14,0.03361450001830235,5,
15,0.03499509999528527,5,
16,0.036480800015851855,6,
17,0.03788640000857413,338,
18,0.03970720001962036,1017,
19,0.04151780001120642,1017,
20,0.04389390000142157,1017,
21,0.045416300010401756,1017,
22,0.04673599998932332,1016,
23,0.048126399982720613,1016,
24,0.04957650002324954,6,
25,0.050856799993198365,5,
26,0.05214789998717606,5,
27,0.05334829998901114,5,
28,0.05455080000683665,5,
29,0.0558669000165537,5,
30,0.05707420001272112,6,
31,0.05830450000939891,5,
32,0.06031299999449402,6,
33,0.06162110000150278,163,
34,0.06340550002641976,1016,
35,0.0648145999875851,1017,
36,0.06611670000711456,1017,
37,0.06740980001632124,1017,
38,0.06935050000902265,1016,
39,0.07082229998195544,1016,
40,0.07236749998992309,6,
41,0.07406990003073588,5,
42,0.07550360000459477,5,
43,0.07786240003770217,5,
44,0.07965249998960644,4,
45,0.08132370002567768,5,
46,0.08291480003390461,6,
47,0.08434290002333,5,
48,0.08567900001071393,6,
49,0.08736449998104945,57,
50,0.08940160000929609,1016,
51,0.09102530003292486,1017,
52,0.09304409998003393,1017,
53,0.09488500002771616,1017,
54,0.0962458000285551,1017,
55,0.0979020000086166,1016,
56,0.0998816000064835,353,
57,0.10149760002968833,5,
58,0.10371769999619573,5,
59,0.10505780001403764,5,
60,0.1072275000042282,5,
61,0.10917900002095848,5,
62,0.1105968999909237,5,
63,0.1123846999835223,5,
64,0.1138554000062868,6,
65,0.11504920001607388,7,
66,0.11641980003332719,1016,
67,0.11784319998696446,1017,
68,0.11944610002683476,1017,
69,0.12077470001531765,1017,
70,0.12223059998359531,1017,
71,0.12361240002792329,1016,
72,0.12484140001470223,690,
73,0.12600699998438358,5,
74,0.1271714000031352,5,
75,0.12868770002387464,5,
76,0.13030230003641918,5,
77,0.13189220003550872,5,
78,0.1332420000107959,5,
79,0.1345077999867499,5,
80,0.1359387999982573,5,
81,0.13729280000552535,6,
82,0.13862159999553114,1015,
83,0.14024450001306832,1018,
84,0.1416752000222914,1015,
85,0.14310059999115765,1017,
86,0.1444599999813363,1017,
87,0.1461414000368677,1016,
88,0.14741780003532767,889,
89,0.14891809999244288,5,
90,0.15048810001462698,5,
