Trial,Flip,Time (s)
1,1,2.046507599996403
1,2,4.402153400005773
1,3,7.6721204000059515
1,4,9.76651079999283
1,5,12.682557500025723
1,6,15.340135200007353
1,7,18.606948800035752
1,8,20.881254700012505
1,9,24.63803159998497
1,10,26.652630500029773
1,11,29.37134250003146
1,12,31.950206300010905
1,13,34.51547420001589
1,14,37.927440200001
1,15,40.370960300031584
1,16,43.444834600028116
1,17,45.65411970001878
1,18,48.498928699991666
1,19,51.60283580003306
1,20,54.35921209998196
1,21,56.51156210002955
1,22,58.59204130002763
1,23,62.38241570000537
1,24,64.36503370001446
1,25,66.88914039998781
1,26,69.63281400001142
1,27,72.31141189998016
1,28,75.07827800000086
1,29,78.7583574000164
1,30,81.48512080003275
1,31,84.92110029998003
1,32,87.1055787000223
1,33,90.28117750003003
1,34,92.69260920002125
1,35,95.42792749998625
1,36,99.23317870002938
1,37,101.87369959999342
1,38,104.30165839998517
1,39,106.72299809998367
1,40,109.95800899999449
1,41,113.14772300003096
1,42,115.80817289999686
1,43,118.72858819999965
1,44,122.06560690002516
1,45,124.53160789998947
1,46,127.05931480001891
1,47,129.16366030002246
1,48,131.84727790002944
1,49,133.69521630002419
1,50,136.1233954000054
