Trial,Flip,Time (s)
1,1,1.8490158999920823
1,2,4.836838699993677
1,3,6.763055499992333
1,4,10.205510800005868
1,5,13.33177990000695
1,6,15.240838000026997
1,7,18.99352690001251
1,8,22.51747860002797
1,9,25.070752600033302
1,10,28.374652600032277
1,11,32.09409130003769
1,12,34.27271250000922
1,13,37.36725720000686
1,14,40.42811070004245
1,15,43.886980600014795
1,16,45.87738329998683
1,17,48.27864299999783
1,18,50.64407849998679
1,19,53.39104070002213
1,20,55.3513699999894
1,21,58.43109979998553
1,22,61.63819570001215
1,23,63.76847320003435
1,24,66.25007559999358
1,25,69.1764938000124
1,26,71.94387349998578
1,27,74.18785739998566
1,28,76.20954310003435
1,29,78.96371460001683
1,30,80.78043660003459
1,31,83.09896590001881
1,32,86.15174569998635
1,33,88.04888690001098
1,34,91.3684254999971
1,35,93.40345480001997
1,36,95.55094360001385
1,37,97.48653729999205
1,38,100.59439089999069
1,39,104.02070910000475
1,40,106.07990900002187
1,41,108.7369783000322
1,42,111.46479840000393
1,43,114.71405700000469
1,44,117.70851239998592
1,45,121.03107580001233
1,46,123.75964669999667
1,47,127.14802700001746
1,48,129.22917529998813
1,49,132.8426954000024
1,50,135.8799699000083
