Trial,Flip,Time (s)
1,1,2.418826899956912
1,2,4.3177246999694034
1,3,7.140786599949934
1,4,10.468810899998061
1,5,12.930406699946616
1,6,15.99452469998505
1,7,19.051358599972446
1,8,22.826221099996474
1,9,24.834231599990744
1,10,26.721682199975476
1,11,29.44650379999075
1,12,32.18505279999226
1,13,34.38004019996151
1,14,36.523590999946464
1,15,39.27984849998029
1,16,43.03133589995559
1,17,46.373705699981656
1,18,48.44049099995755
1,19,51.1863959999755
1,20,53.29734009999083
1,21,55.37733789999038
1,22,57.81732929998543
1,23,61.384738599997945
1,24,64.32594749995042
1,25,66.4937990999897
1,26,68.79929269995773
1,27,72.28363839996746
1,28,75.75487359997351
1,29,78.1856311999727
1,30,81.14689119998366
1,31,83.87677889998304
1,32,85.92291639995528
1,33,88.0150549999671
1,34,90.8020745999529
1,35,92.7352582999738
1,36,95.50444279995281
1,37,98.45506279997062
1,38,101.68912699999055
1,39,104.67012229998363
1,40,107.42775329999859
1,41,110.62703569995938
1,42,112.77314079995267
1,43,115.25474789994769
1,44,117.72058959997958
1,45,120.79655799997272
1,46,123.73764599999413
1,47,126.45442389999516
1,48,128.9044598999899
1,49,132.07536109996727
1,50,134.74539189995266
