timestamp_us,adc_value,voltage_V
25245,0,0.0
25644,0,0.0
25769,0,0.0
25896,0,0.0
26026,0,0.0
26151,0,0.0
26276,0,0.0
26401,0,0.0
26526,0,0.0
26652,0,0.0
26777,0,0.0
26905,0,0.0
27034,0,0.0
27159,0,0.0
27284,0,0.0
27409,0,0.0
27534,0,0.0
27660,0,0.0
27785,0,0.0
27913,0,0.0
30414,0,0.0
30541,0,0.0
30666,0,0.0
30791,0,0.0
30920,0,0.0
31049,0,0.0
31174,0,0.0
31299,0,0.0
31424,0,0.0
31549,0,0.0
31675,0,0.0
31800,0,0.0
31927,0,0.0
32056,0,0.0
32181,0,0.0
32306,0,0.0
32431,0,0.0
34913,0,0.0
35045,0,0.0
35170,0,0.0
35296,0,0.0
35421,0,0.0
35546,0,0.0
35671,0,0.0
35796,0,0.0
35927,0,0.0
36056,0,0.0
36181,0,0.0
36306,0,0.0
36431,0,0.0
36557,0,0.0
36682,0,0.0
36807,0,0.0
36937,0,0.0
37066,0,0.0
39548,0,0.0
39676,0,0.0
39801,0,0.0
39928,0,0.0
40057,0,0.0
40183,0,0.0
40308,0,0.0
40433,0,0.0
40558,0,0.0
40683,0,0.0
40808,0,0.0
40937,0,0.0
41067,0,0.0
41192,0,0.0
41317,0,0.0
41442,0,0.0
41567,0,0.0
41692,0,0.0
44185,0,0.0
44313,0,0.0
44438,0,0.0
44563,0,0.0
44688,0,0.0
44813,0,0.0
44944,0,0.0
45073,0,0.0
45198,0,0.0
45323,0,0.0
45448,0,0.0
45573,0,0.0
45698,0,0.0
45824,0,0.0
45954,0,0.0
46084,0,0.0
46209,0,0.0
48688,0,0.0
48815,0,0.0
48944,0,0.0
49073,0,0.0
49198,0,0.0
49323,0,0.0
49448,0,0.0
49573,0,0.0
49698,0,0.0
49823,0,0.0
49952,0,0.0
50081,0,0.0
50207,0,0.0
50332,0,0.0
50457,0,0.0
50582,0,0.0
50707,0,0.0
50832,0,0.0
53328,0,0.0
53456,0,0.0
53581,0,0.0
53706,0,0.0
53831,0,0.0
53960,0,0.0
54090,0,0.0
54215,0,0.0
54340,0,0.0
54465,0,0.0
54590,0,0.0
54715,0,0.0
54840,0,0.0
54966,0,0.0
55096,0,0.0
55221,0,0.0
55346,0,0.0
55471,0,0.0
57965,0,0.0
58097,0,0.0
58222,0,0.0
58347,0,0.0
58473,0,0.0
58598,0,0.0
58723,0,0.0
58848,0,0.0
58973,0,0.0
59103,0,0.0
59228,0,0.0
59353,0,0.0
59478,0,0.0
59603,0,0.0
59728,0,0.0
59853,0,0.0
59979,0,0.0
62468,0,0.0
62595,0,0.0
62720,0,0.0
62846,0,0.0
62971,0,0.0
63100,0,0.0
63225,0,0.0
63351,0,0.0
63476,0,0.0
