Pulse#,Width(µs),Rise Time(µs),Fall Time(µs),Peak(V),Error(%),Samples
1,889,0,889,3.868131868131868,122.25,8
2,759,0,759,3.7424175824175823,89.75,7
3,889,0,889,3.9229304029304024,122.25,8
4,636,0,636,3.6908424908424906,59.0,6
5,888,0,888,3.91003663003663,122.0,8
